timestamp,t_water_in,t_glycol_int,t_glycol_out,t_water_out,efficiency
2025-09-29,33.49,85.82,46.5,61.80885591,96.45451706
2025-09-30,33.51,86.35,46.75,61.89494118,96.43257576
2025-10-01,33.39,85.98,46.55,61.67287218,96.41067355
2025-10-02,33.32,85.71,46.51,61.40307891,96.38881045
2025-10-03,32.86,87.54,46.71,61.58348105,96.36698645
2025-10-04,31.8,86.09,45.74,59.85268911,96.34520156
2025-10-05,31.07,86.56,45.43,59.19918996,96.32345577
2025-10-06,31.43,83.53,44.49,59.00984266,96.30174908
2025-10-07,32.31,83.34,44.98,59.86472655,96.28008149
2025-10-08,32.74,87.08,46.63,61.14087926,96.258453
2025-10-09,32.68,87.26,46.73,61.02411299,96.23686362
2025-10-10,32.0,87.28,46.28,60.34917891,96.21531334
2025-10-11,31.47,86.41,45.86,59.2961775,96.19380217
2025-10-12,31.92,87.21,46.32,60.0980829,96.17233009
2025-10-13,31.72,87.54,46.19,60.11623295,96.15089712
2025-10-14,32.16,85.85,46.09,59.90314602,96.12950325
2025-10-15,31.3,86.68,45.79,59.25057873,96.10814848
2025-10-16,30.47,85.22,44.93,57.79330959,96.08683282
2025-10-17,30.9,85.31,45.22,58.29453782,96.06555626
2025-10-18,31.34,85.98,45.7,58.96308972,96.0443188
2025-10-19,31.5,86.12,45.87,59.14061478,96.02312045
2025-10-20,30.65,59.79,38.29,47.86010708,96.00196119
2025-10-21,31.56,30.8,31.33,31.02610916,95.98084104
2025-10-22,31.72,30.86,30.39,32.21056927,95.95975999
2025-10-23,31.66,30.85,29.99,32.5678893,95.93871805
2025-10-24,31.53,29.1,28.54,32.14866854,95.91771521
2025-10-25,33.61,29.57,29.5,33.68975254,95.89675147
2025-10-26,32.3,29.61,29.8,32.0940604,95.87582683
2025-10-27,31.95,29.53,29.4,32.09127551,95.85494129
2025-10-28,31.4,29.09,29.1,31.38920962,95.83409486
2025-10-29,30.23,28.91,29.77,29.35671145,95.81328753
2025-10-30,29.04,28.98,29.85,28.19360804,95.7925193
2025-10-31,27.39,27.86,28.21,27.0501737,95.77179018
2025-11-01,26.48,27.16,27.2,26.44105882,95.75110016
2025-11-02,26.69,28.27,27.39,27.54751004,95.73044924
2025-11-03,26.38,28.88,28.5,26.73173333,95.70983742
2025-11-04,26.86,29.08,29.61,26.37922324,95.68926471
2025-11-05,27.13,,29.54,26.7442654,95.6687311
2025-11-06,27.53,28.43,28.89,27.09165455,95.64823659
2025-11-07,25.2,24.86,25.88,24.20680062,95.62778118
2025-11-08,25.86,25.58,26.0,25.44226154,95.60736488
2025-11-09,24.95,24.64,24.92,24.66966292,95.58698768
2025-11-10,26.77,26.36,27.25,,95.56664958
2025-11-11,28.08,28.08,27.73,28.4344176,95.54635059
2025-11-12,28.41,28.69,29.23,27.88514882,95.52609069
2025-11-13,28.98,28.54,28.2,29.32940426,95.5058699
2025-11-14,27.07,26.68,27.6,26.16766667,95.48568822
2025-11-15,28.69,28.29,28.23,28.75097768,95.46554563
2025-11-16,26.87,27.01,27.13,26.75115002,95.44544215
2025-11-17,26.77,26.13,26.45,26.44612854,95.42537777
2025-11-18,28.34,27.74,28.36,27.72043724,95.40535249
2025-11-19,30.2,30.01,30.25,29.96039669,95.38536632
2025-11-21,28.78,28.88,30.03,27.6778688,95.36541925
2025-11-22,30.75,29.54,30.36,29.9194664,95.34551128
2025-11-23,30.23,29.25,29.91,29.56293882,95.32564241
2025-11-25,31.23,,29.75,31.97532101,95.30581265
2025-11-26,29.37,29.34,30.32,28.4207058,95.28602198
2025-11-27,29.02,29.2,29.81,28.42616572,95.26627043
2025-11-28,29.47,29.11,29.89,28.70096019,95.24655797
2025-11-29,29.13,29.31,30.56,27.93849149,95.22688462
2025-11-30,30.71,30.12,30.83,30.00276354,95.20725037
2025-12-01,29.11,29.64,30.37,28.41028647,95.18765522
2025-12-02,30.23,29.55,30.61,29.1831591,95.16809917
2025-12-03,30.28,31.03,31.8,29.54680503,95.14858223
2025-12-04,30.72,30.65,33.36,28.22446043,95.12910439
2025-12-05,32.58,41.48,35.58,37.98252951,95.10966565
2025-12-06,33.52,84.98,46.43,61.35105751,95.09026602
2025-12-07,33.01,83.83,46.21,59.8837546,95.07090548
2025-12-08,32.94,83.39,46.0,59.7144913,95.05158405
2025-12-09,32.88,84.28,46.3,59.85154212,95.03230173
2025-12-10,32.63,83.81,46.21,59.1802705,95.0130585
2025-12-11,33.04,83.33,46.44,59.28559862,94.99385438
2025-12-12,33.1,85.05,46.78,60.17860197,94.97468936
2025-12-13,32.96,78.42,44.1,58.6105034,94.95556344
2025-12-14,32.83,78.44,44.15,,94.93647663
2025-12-15,32.78,82.01,45.58,58.97954805,94.91742892
2025-12-16,32.91,81.71,45.02,59.73069969,94.89842031
2025-12-17,32.73,84.71,46.18,60.03807492,94.8794508
2025-12-18,33.34,85.18,46.58,60.96825247,94.8605204
2025-12-19,34.0,85.14,47.24,61.27773074,94.8416291
2025-12-20,34.7,85.97,48.03,62.11032688,94.8227769
2025-12-21,34.55,86.34,48.02,62.12092878,94.80396381
2025-12-22,34.42,85.6,47.59,61.91115781,94.78518981
2025-12-23,34.33,85.61,47.62,61.71758295,94.76645492
2025-12-24,34.09,85.69,47.41,61.61510441,94.74775913
2025-12-25,34.32,84.64,47.14,61.62165465,94.72910245
2025-12-26,34.66,89.18,48.65,63.53502158,94.71048487
2025-12-27,34.7,86.03,47.84,62.40052258,94.69190639
2025-12-28,30.92,86.65,45.48,58.90980651,94.67336701
2025-12-29,31.36,84.5,44.98,58.9132948,94.65486673
2025-12-31,33.32,85.56,46.55,61.24294737,94.63640556
2026-01-01,34.99,89.11,48.86,63.8141404,94.61798349
2026-01-02,34.8,87.55,47.56,64.06097561,94.59960053
2026-01-03,32.76,83.73,45.54,60.23264822,94.58125666
2026-01-04,32.62,85.42,46.04,60.52129453,94.5629519
2026-01-05,32.39,86.19,46.41,60.15285714,94.54468624
2026-01-06,33.63,85.1,47.04,60.83998724,94.52645969
2026-01-07,34.7,85.34,47.27,62.64645653,94.50827223
2026-01-08,33.36,72.88,41.37,58.76907904,94.49012388
2026-01-09,30.83,80.84,42.96,58.01436685,94.47201463
2026-01-10,30.97,81.33,43.52,57.87661075,94.45394449
2026-01-11,31.1,81.1,43.66,57.7693541,94.43591344
2026-01-12,31.89,82.76,44.75,58.97690279,94.4179215
2026-01-13,32.75,83.72,45.58,60.15423431,94.39996867
2026-01-14,31.32,83.43,44.82,58.30048193,94.38205493
2026-01-15,32.48,85.94,46.42,60.132081,94.3641803
2026-01-16,32.43,85.9,46.38,60.06332471,94.34634477
2026-01-17,32.09,82.37,44.86,58.92227597,94.32854834
2026-01-18,32.3,83.54,45.44,59.38252641,94.31079101
2026-01-19,32.09,85.22,46.05,59.38566341,94.29307279
2026-01-20,31.69,88.55,46.55,60.2824812,94.27539367
2026-01-21,32.5,86.22,46.45,60.32615716,94.25775366
2026-01-22,33.77,88.05,47.74,62.28421659,94.24015274
2026-01-23,33.67,87.07,47.31,61.9667491,94.22259093
2026-01-24,32.37,85.46,46.52,59.46561049,94.20506822
2026-01-25,31.66,86.54,45.83,59.78303295,94.18758462
2026-01-26,32.0,87.47,46.31,60.44137335,94.17014011
2026-01-27,31.57,85.84,45.69,59.31207704,94.15273471
2026-01-28,31.95,85.22,44.83,60.73564577,94.13536841
2026-01-29,31.81,83.75,44.53,59.82680216,94.11804122
2026-01-30,31.81,82.79,43.98,59.88062528,94.10075312
2026-01-31,32.26,81.65,43.89,60.01433128,94.08350413
2026-02-01,32.45,81.29,44.22,59.65310945,94.06629424
2026-02-03,32.04,84.13,44.96,59.95385231,94.04912346
2026-02-04,32.21,87.06,46.47,60.34436411,94.03199178
2026-02-05,,84.86,45.58,59.89351031,94.0148992
2026-02-06,32.16,83.19,45.02,59.42670813,93.99784572
2026-02-07,32.08,85.67,45.58,60.29604212,93.98083134
2026-02-08,32.12,86.47,46.38,59.88392411,93.96385607
2026-02-09,32.1,85.84,46.19,59.65499026,93.9469199
2026-02-10,32.09,84.99,45.8,59.54867031,93.93002283
2026-02-11,31.79,85.31,45.79,59.22701245,93.91316487
2026-02-12,31.43,82.37,44.44,58.25583033,93.89634601
2026-02-13,32.22,84.21,45.35,59.82902315,93.87956625
2026-02-14,31.91,85.02,45.46,59.67857897,93.86282559
2026-02-15,31.46,85.59,45.72,58.8946063,93.84612404
2026-02-16,32.05,87.41,46.69,60.00193832,93.82946159
2026-02-17,32.73,83.76,46.05,59.53235179,93.81283824
2026-02-18,33.04,84.14,46.26,60.09480329,93.79625399
2026-02-19,33.11,86.79,46.91,61.25808783,93.77970885
2026-02-20,33.11,87.23,47.01,61.43767922,93.76320281
2026-02-21,33.13,88.72,47.69,61.63333194,93.74673587
2026-02-22,33.11,85.33,47.35,59.66792608,93.73030804
2026-02-23,35.93,85.33,48.97,62.60785991,93.7139193
2026-02-24,32.97,83.52,46.62,59.06594595,93.69756967
2026-02-25,32.73,85.48,47.12,59.37522071,93.68125914
2026-02-26,32.58,86.98,47.18,60.06376431,93.66498772
2026-02-27,32.51,80.82,45.02,58.36202132,93.6487554
2026-02-28,32.4,77.9,43.98,57.3888131,93.63256218
2026-03-02,32.38,82.06,45.71,58.1295734,93.61640806
2026-03-03,32.5,85.17,47.09,58.78158845,93.60029305
2026-03-04,32.22,85.15,46.42,59.10239121,93.58421713
2026-03-05,32.32,86.65,47.07,59.49708944,93.56818032
2026-03-06,32.13,83.49,45.75,58.63461639,93.55218262
2026-03-07,31.96,87.13,46.81,59.48888699,93.53622401
2026-03-08,31.52,81.12,43.64,58.59079743,93.52030451
2026-03-09,32.08,82.21,44.5,59.26509663,93.50442411
2026-03-10,32.24,78.93,43.6,58.36475229,93.48858282
2026-03-11,32.33,79.37,44.09,58.19986618,93.47278062
2026-03-12,33.13,84.22,46.17,60.43336799,93.45701753
2026-03-13,32.13,86.28,46.52,59.59106621,93.44129355
2026-03-14,32.42,85.25,46.32,59.66763817,93.42560866
2026-03-15,32.43,83.88,45.85,59.32886369,93.40996288
2026-03-16,32.37,80.67,44.48,58.70701214,93.3943562
2026-03-17,32.3,84.33,46.15,59.02186349,93.37878862
2026-03-18,32.55,84.66,46.74,58.95770218,93.36326014
2026-03-19,33.38,85.9,47.93,59.82353432,93.34777077
2026-03-20,33.27,86.12,47.95,59.75416893,93.3323205
2026-03-21,32.55,85.87,47.38,58.99258126,93.31690933
2026-03-22,24.55,48.66,30.06,39.74061876,93.30153727
2026-03-24,20.85,21.11,20.7,21.26297101,93.28620431
2026-03-25,24.49,32.06,26.22,29.94467582,93.27091045
2026-03-26,26.11,85.36,41.22,52.36723684,93.25565569
2026-03-27,26.91,82.61,,52.70353485,93.24044004
2026-03-28,27.7,84.68,42.94,54.6258966,93.22526349